Writing Site and Version Operations Management data to the registry on this site server...  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.515+480><thread=2808 (0xAF8)>
Synchronizing server table...  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.515+480><thread=2808 (0xAF8)>
  Assigned the "SMS Component Server" role to server CM1.CORP.CONTOSO.COM.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.515+480><thread=2808 (0xAF8)>
  Synchronizing component server CM1.CORP.CONTOSO.COM...  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.515+480><thread=2808 (0xAF8)>
    Component SMS_AI_KB_MANAGER flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_AI_KB_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.533 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
    Component SMS_ALERT_NOTIFICATION flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_ALERT_NOTIFICATION" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.536 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
    Component SMS_AZUREAD_DISCOVERY_AGENT flagged for installation.  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
STATMSG: ID=1013 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_AZUREAD_DISCOVERY_AGENT" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=7888 TID=2808 GMTDATE=Mon Feb 27 03:49:51.538 2023 ISTR0="60" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_SITE_COMPONENT_MANAGER><02-26-2023 19:49:51.531+480><thread=2808 (0xAF8)>
