Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.487+480><thread=7088 (0x1BB0)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.487+480><thread=7088 (0x1BB0)>
component runtime value is not found in database. (SMS_AI_KB_MANAGER)(1)(<NULL>)  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.502+480><thread=7088 (0x1BB0)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.502+480><thread=7088 (0x1BB0)>
~Updated inbox def 25, Asset Intelligence KB Manager  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.502+480><thread=7088 (0x1BB0)>
~WaitForEvent.~  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.502+480><thread=7088 (0x1BB0)>
Waiting for changes for 1 minutes  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:03.502+480><thread=7088 (0x1BB0)>
Wait timed out after 0 minutes while waiting for at least one trigger event.  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:04.518+480><thread=7088 (0x1BB0)>
~Process KB update files~  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:09.534+480><thread=7088 (0x1BB0)>
ENTER Function: ProcessXMLFiles  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:09.534+480><thread=7088 (0x1BB0)>
Exit Function: ProcessXMLFiles  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:09.534+480><thread=7088 (0x1BB0)>
~WaitForEvent.~  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:09.534+480><thread=7088 (0x1BB0)>
Waiting for changes for 30 minutes  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:09.534+480><thread=7088 (0x1BB0)>
Shutting down...  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:28.315+480><thread=7088 (0x1BB0)>
Exiting SMS_AI_KB_MANAGER Thread...  $$<SMS_AI_KB_MANAGER><02-26-2023 19:56:28.331+480><thread=7088 (0x1BB0)>
