~Waiting for the inbox manager to create the inboxes, retry in 10 seconds.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:08.824+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[0].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.840+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[1].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[2].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[3].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[4].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[5].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[6].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[7].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[8].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[9].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.855+480><thread=3880 (0xF28)>
INFO: Executing SqlCMUpdateInitScripts[10].  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.887+480><thread=3880 (0xF28)>
Getting SYSCENTERID & iLicenseType  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.902+480><thread=3880 (0xF28)>
Initializing the status message reporting system...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.902+480><thread=3880 (0xF28)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.902+480><thread=3880 (0xF28)>
    The path to the "Status Manager" inbox is "C:\Program Files\Microsoft Configuration Manager\inboxes\statmgr.box\statmsgs".  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.902+480><thread=3880 (0xF28)>
    SMS_STATUS_MANAGER is not running as part of this process, the SMS_EXECUTIVE to SMS_STATUS_MANAGER in-memory status message queue will not be used.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:18.902+480><thread=3880 (0xF28)>
Registered this process as a source of "SMS Server" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
Registered this process as a source of "SMS Client" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
Registered this process as a source of "SMS Provider" events.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
Status message reporting system initialized successfully.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
There is no need to start monitoring thread.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
Waiting for changes to the "C:\Program Files\Microsoft Configuration Manager\inboxes\cmupdate.box" directories, updates will be polled in 600 seconds...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:53:19.715+480><thread=3880 (0xF28)>
CONFIGURATION_MANAGER_UPDATE service is stopping...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.553+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]SQL Server Network Interfaces: The requested security package does not exist~~  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]SQL Server Network Interfaces: The requested security package does not exist~~  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]Client unable to establish connection  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]A network-related or instance-specific error has occurred while establishing a connection to SQL Server. Server is not found or not accessible. Check if instance name is correct and if SQL Server is configured to allow remote connections. For more information see SQL Server Books Online.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** Failed to connect to the SQL Server, connection type: SMS ACCESS.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]SQL Server Network Interfaces: The requested security package does not exist~~  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]SQL Server Network Interfaces: The requested security package does not exist~~  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]Client unable to establish connection  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** [08001][-2146893051][Microsoft][SQL Server Native Client 11.0]A network-related or instance-specific error has occurred while establishing a connection to SQL Server. Server is not found or not accessible. Check if instance name is correct and if SQL Server is configured to allow remote connections. For more information see SQL Server Books Online.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
*** Failed to connect to the SQL Server, connection type: SMS ACCESS.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
GetThisSiteType: Failed to get SQL connection  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
Failed to get site type.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
Info: Currently Site CHQ is initializing Site Control Data. Can't get SCF from database at this time. Will try later.  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
STATMSG: ID=501 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2652 TID=6612 GMTDATE=Mon Feb 27 03:55:09.568 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.572+480><thread=6612 (0x19D4)>
 RETURN CODE -2  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.584+480><thread=3880 (0xF28)>
CONFIGURATION_MANAGER_UPDATE service is signalled to stop...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.584+480><thread=3880 (0xF28)>
STATMSG: ID=502 SEV=I LEV=M SOURCE="SMS Server" COMP="CONFIGURATION_MANAGER_UPDATE" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=2652 TID=3880 GMTDATE=Mon Feb 27 03:55:09.588 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:09.584+480><thread=3880 (0xF28)>
*******************************************************************************  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
CONFIGURATION_MANAGER_UPDATE service is starting...  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
Microsoft Endpoint Configuration Manager v5.00 (Build 9078)  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
Process ID: 2808  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
Worker thread ID: 3900  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
Inbox source is local on CM1.CORP.CONTOSO.COM  $$<CONFIGURATION_MANAGER_UPDATE><02-26-2023 19:55:24.095+480><thread=3900 (0xF3C)>
