Main processing thread for message type Discovery stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=1152 (0x480)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.CloudConnection.Telemetry.TelemetryWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=8856 (0x2298)>
Main processing thread for message type GatewayService stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=6536 (0x1988)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManagement.ApplicationManagement.Wsfb.BusinessAppProcessWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.646+480><thread=1152 (0x480)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.CommonWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6536 (0x1988)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\GenericDownloadWorker, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.CMGatewaySyncUploadWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\M365AConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.GenericUploadWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
Main processing thread for message type Instant stopped...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8648 (0x21C8)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\UXAnalyticsConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.OfficeCDNWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
Message processor stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
Disable file watch for 10bf0677-93ae-4cd0-879c-f1aaf7f8de1e on folder C:\Program Files\Microsoft Configuration Manager\inboxes\mpe.box with filter type = *.*~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
Message processor engine stopped~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.MessageProcessingEngine.MessageProcessingEngine~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
Successfully shut down the workers.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
End main SMS_MESSAGE_PROCESSING_ENGINE thread  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=6888 (0x1AE8)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\HelpdeskConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=1152 (0x480)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.M365AUploadWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=1152 (0x480)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\M365AConfig, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.M365ADeploymentPlanWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8856 (0x2298)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8648 (0x21C8)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.M365ADeviceHealthWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.662+480><thread=8648 (0x21C8)>
UnSubscribed from Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_SERVICE_CONNECTOR\GenericUploadWorker, FilterType: NameChange, ValueChange, WatchSubTree: True~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.678+480><thread=6536 (0x1988)>
WARNING: Successfully stopped worker Microsoft.ConfigurationManager.ServiceConnector.HeartbeatWorker~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:09.678+480><thread=6536 (0x1988)>
SMS_EXECUTIVE started SMS_MESSAGE_PROCESSING_ENGINE as thread ID 5648 (0x1610).  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.064+480><thread=3768 (0xEB8)>
Initializing Task Execution Manager instance as SMS_MESSAGE_PROCESSING_ENGINE.  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.079+480><thread=7172 (0x1C04)>
Starting component SMS_MESSAGE_PROCESSING_ENGINE~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.079+480><thread=7172 (0x1C04)>
Component SMS_MESSAGE_PROCESSING_ENGINE started successfully.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.079+480><thread=7172 (0x1C04)>
Starting message processor engine with ComponentName SMS_MESSAGE_PROCESSING_ENGINE...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.157+480><thread=5164 (0x142C)>
Verbose logging changed to 0~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.157+480><thread=5164 (0x142C)>
History retention days changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.157+480><thread=5164 (0x142C)>
Purge history interval (minutes) changed to 1440~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.157+480><thread=5164 (0x142C)>
Purged 0 records from history table~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.173+480><thread=5164 (0x142C)>
Subscribing to Registry Hive: LocalMachine, KeyPath: SOFTWARE\Microsoft\SMS\COMPONENTS\SMS_MESSAGE_PROCESSING_ENGINE, FilterType: ValueChange, WatchSubTree: False~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.173+480><thread=5164 (0x142C)>
Registry Watcher started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.173+480><thread=5164 (0x142C)>
Successfully subscribed listener to registry key.~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.173+480><thread=5164 (0x142C)>
Finished setup inbox with folder C:\Program Files\Microsoft Configuration Manager\inboxes\mpe.box~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.189+480><thread=5164 (0x142C)>
Installed DBMON triggers~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.189+480><thread=5164 (0x142C)>
Subscribed inbox file change~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.204+480><thread=5164 (0x142C)>
Initialize message processor thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.236+480><thread=5164 (0x142C)>
Inbox file handler thread started~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.236+480><thread=4920 (0x1338)>
Loaded message process setting~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.251+480><thread=5164 (0x142C)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.Instant.InstantMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.251+480><thread=5164 (0x142C)>
Loading message handler Microsoft.ConfigurationManager.MessageProcessingEngine.GatewayService.GatewayServiceMessageHandler...~~  $$<SMS_MESSAGE_PROCESSING_ENGINE><02-26-2023 19:55:27.267+480><thread=5164 (0x142C)>
