---->: Component "SMS_ALERT_NOTIFICATION" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.102+480><thread=1188 (0x4A4)>
---->: Component "SMS_AZUREAD_DISCOVERY_AGENT" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.102+480><thread=1188 (0x4A4)>
---->: Component "SMS_BUSINESS_APP_PROCESS_MANAGER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.103+480><thread=1188 (0x4A4)>
---->: Component "SMS_CERTIFICATE_MANAGER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.103+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLIENT_CONFIG_MANAGER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.104+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLIENT_HEALTH" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.104+480><thread=1188 (0x4A4)>
Warn>: UpdateSummaryListFromSCF: Unknown component name: SMS Cloud Proxy Connector  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.105+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLOUD_SERVICES_MANAGER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.105+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLOUD_SERVICES_MANAGER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.105+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLOUD_USERSYNC" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.106+480><thread=1188 (0x4A4)>
---->: Component "SMS_CLOUDCONNECTION" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.106+480><thread=1188 (0x4A4)>
---->: Component "SMS_COLLECTION_EVALUATOR" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.107+480><thread=1188 (0x4A4)>
Warn>: UpdateSummaryListFromSCF: Unknown component name: SMS Endpoint Protection Point  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.107+480><thread=1188 (0x4A4)>
---->: Component "SMS_COMPONENT_MONITOR" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.108+480><thread=1188 (0x4A4)>
---->: Component "SMS_COMPONENT_MONITOR" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.108+480><thread=1188 (0x4A4)>
---->: Component "SMS_COMPONENT_STATUS_SUMMARIZER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.109+480><thread=1188 (0x4A4)>
---->: Component "SMS_DATABASE_NOTIFICATION_MONITOR" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.109+480><thread=1188 (0x4A4)>
---->: Component "SMS_DESPOOLER" on Machine "CM1.CORP.CONTOSO.COM", has been identified in the SCF  $$<SMS_COMPONENT_STATUS_SUMMARIZER><02-26-2023 19:54:11.110+480><thread=1188 (0x4A4)>
