INFO: New service object invocation Id = '59983c722300e14cb55136adef85e728'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.409+480><thread=9180 (0x23DC)>
INFO: Search provider = 'LDAP'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.409+480><thread=9180 (0x23DC)>
INFO: Domain controller = 'DC1.corp.contoso.com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.409+480><thread=9180 (0x23DC)>
INFO: Succeed to cached binding for LDAP://DC1.corp.contoso.com/RootDSE  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: search filter = '(&(objectCategory=group))'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: ads path = 'LDAP://DC1.corp.contoso.com/DC=CORP,DC=CONTOSO,DC=COM'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: Bound to 'LDAP://DC1.CORP.CONTOSO.COM/DC=CORP,DC=CONTOSO,DC=COM'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Guests,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SECURITY_GROUP_DISCOVERY_AGENT><02-26-2023 19:56:18.424+480><thread=9180 (0x23DC)>
