Added component 'SMS_NETWORK_DISCOVERY' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_NOTIFICATION_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_NOTIFICATION_SERVER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OBJECT_REPLICATION_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OFFER_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OFFER_STATUS_SUMMARIZER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OFFLINE_SERVICING_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OUTBOX_MONITOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_OUTGOING_CONTENT_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_PACKAGE_TRANSFER_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_POLICY_PROVIDER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_REPLICATION_CONFIGURATION_MONITOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_REPLICATION_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_REST_PROVIDER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_RULE_ENGINE' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_SCHEDULER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_SERVICE_CONNECTOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_BACKUP' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.840+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_COMPONENT_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_CONTROL_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_SQL_BACKUP' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_SYSTEM_STATUS_SUMMARIZER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SITE_VSS_WRITER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SOFTWARE_INVENTORY_PROCESSOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_SOFTWARE_METERING_PROCESSOR' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_STATE_SYSTEM' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_STATUS_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_WINNT_SERVER_DISCOVERY_AGENT' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_WSUS_CONFIGURATION_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Added component 'SMS_WSUS_SYNC_MANAGER' to the Monitored Component List.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Polling interval during component initialization is 5 seconds.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Waiting until the next polling cycle in 0 seconds from now.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Checking components ...~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_STATE_SYSTEM since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_NOTIFICATION_SERVER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_NOTIFICATION_MANAGER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_SOFTWARE_INVENTORY_PROCESSOR since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_OUTGOING_CONTENT_MANAGER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_MIGRATION_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_FAILOVER_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.855+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_DISTRIBUTION_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Updated Operations Management registry key values for component SMS_BUSINESS_APP_PROCESS_MANAGER; Execution State = 2 and Availability State = 0.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_SITE_CONTROL_MANAGER since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not check availability for component SMS_SERVICE_CONNECTOR since its execution state is unknown.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
Can not get the current execution state for component SMS_DISCOVERY_DATA_MANAGER since it is not installed or completed installing.~  $$<SMS_COMPONENT_MONITOR><02-26-2023 19:53:10.871+480><thread=2940 (0xB7C)>
