********************************************************************************  $$<SMS_EXECUTIVE><02-26-2023 19:50:32.985+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_REST_PROVIDER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=6140 GMTDATE=Mon Feb 27 03:51:21.834 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:51:21.831+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1752 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:21.831+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 8152 is created  $$<SMS_EXECUTIVE><02-26-2023 19:51:21.831+480><thread=8152 (0x1FD8)>
site system identification certificate maintenance in 1751 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:22.831+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1750 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:23.941+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:51:23.941+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1749 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:24.956+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:51:40.191+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1732 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:41.191+480><thread=2084 (0x824)>
SMS_DATABASE_NOTIFICATION_MONITOR initialized, DLL = "\bin\x64\smsdbmon.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.207+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\smsdbmon.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.222+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\smsdbmon.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.222+480><thread=2084 (0x824)>
SMS_DATABASE_NOTIFICATION_MONITOR started, ThreadMain() thread ID = 4244.  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.222+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_DATABASE_NOTIFICATION_MONITOR" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=4244 GMTDATE=Mon Feb 27 03:51:42.233 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.222+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): Monitoring thread 8152 exits...  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.238+480><thread=8152 (0x1FD8)>
site system identification certificate maintenance in 1731 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.238+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 7912 is created  $$<SMS_EXECUTIVE><02-26-2023 19:51:42.238+480><thread=7912 (0x1EE8)>
site system identification certificate maintenance in 1730 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:43.238+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1729 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:44.238+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:51:44.238+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1728 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:51:45.240+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:51:59.443+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1713 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:00.474+480><thread=2084 (0x824)>
SMS_AI_KB_MANAGER initialized, DLL = "\bin\x64\aikbmgr.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.475+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\aikbmgr.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\aikbmgr.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
SMS_AI_KB_MANAGER started, ThreadMain() thread ID = 584.  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
STATMSG: ID=500 SEV=I LEV=M SOURCE="SMS Server" COMP="SMS_AI_KB_MANAGER" SYS=CM1.CORP.CONTOSO.COM SITE=CHQ PID=1520 TID=584 GMTDATE=Mon Feb 27 03:52:01.500 2023 ISTR0="" ISTR1="" ISTR2="" ISTR3="" ISTR4="" ISTR5="" ISTR6="" ISTR7="" ISTR8="" ISTR9="" NUMATTRS=0 LE=0X0  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): Monitoring thread 7912 exits...  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=7912 (0x1EE8)>
site system identification certificate maintenance in 1712 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=2084 (0x824)>
CSMSExecThread::ThreadsMonitorProc(): A monitoring thread 5328 is created  $$<SMS_EXECUTIVE><02-26-2023 19:52:01.490+480><thread=5328 (0x14D0)>
site system identification certificate maintenance in 1711 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:02.506+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1710 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:03.506+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:03.506+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1709 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:04.521+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:04.521+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1708 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:05.521+480><thread=2084 (0x824)>
Detected a change to the tracing registry, tracing settings will be refreshed.  $$<SMS_EXECUTIVE><02-26-2023 19:52:06.881+480><thread=2084 (0x824)>
site system identification certificate maintenance in 1706 seconds...  $$<SMS_EXECUTIVE><02-26-2023 19:52:07.881+480><thread=2084 (0x824)>
SMS_ALERT_NOTIFICATION initialized, DLL = "\bin\x64\NotiCtrl.dll", startup type = "Automatic", current state = "Starting", requested operation = "Start".  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.896+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\NotiCtrl.dll' is signed and trusted.  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=2084 (0x824)>
File 'C:\Program Files\Microsoft Configuration Manager\bin\x64\NotiCtrl.dll' is signed with MS root cert.  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=2084 (0x824)>
SMS_ALERT_NOTIFICATION started, ThreadMain() thread ID = 5628.  $$<SMS_EXECUTIVE><02-26-2023 19:52:08.912+480><thread=2084 (0x824)>
