INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Guests,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Print Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Backup Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Replicator,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Remote Desktop Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Network Configuration Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Performance Monitor Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Performance Log Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Distributed COM Users,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.346+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=IIS_IUSRS,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Cryptographic Operators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Event Log Readers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Certificate Service DCOM Access,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Remote Access Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Endpoint Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=RDS Management Servers,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: discovered object with ADsPath = 'LDAP://DC1.CORP.CONTOSO.COM/CN=Hyper-V Administrators,CN=Builtin,DC=corp,DC=contoso,DC=com'~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
INFO: Push into the group list and discover it recursively later~  $$<SMS_AD_SYSTEM_DISCOVERY_AGENT><02-26-2023 19:56:25.362+480><thread=9348 (0x2484)>
