Trigger for Site Component Manager[Azure_Service_SiteComp_u]: table Azure_Service(AzureServiceId) on update, file AZS, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.332+480><thread=4244 (0x1094)>
Trigger for SMS Provider[DiscProps_Add_SMSProv]: table DiscPropertyDefs(DiscArchKey,PropertyName) on insert, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.332+480><thread=4244 (0x1094)>
Trigger for Site Component Manager[Feature_EC_Change]: table Feature_EC(FeatureID) on delete,insert,update, file FEC, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.332+480><thread=4244 (0x1094)>
Trigger for SMS Provider[GroupMap_Add_SMSProv]: table GroupMap_Notif(GroupClass) on delete,insert,update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.332+480><thread=4244 (0x1094)>
Trigger for Hierarchy Manager[LanguagePackStatus_ALL_HMAN]: table LanguagePackStatus(Locale) on delete,insert,update, file LPK, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.332+480><thread=4244 (0x1094)>
Trigger for Site Component Manager[Proxy_EndpointDefinition_SiteComp_iud]: table Proxy_EndpointDefinition(Name) on delete,insert,update, file PED, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for Site Component Manager[Proxy_ExternalEndpoint_SiteComp_iud]: table Proxy_ExternalEndpoint(ID) on delete,insert,update, file PEE, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for Site Component Manager[Proxy_RoleEndpoint_SiteComp_iud]: table Proxy_RoleEndpoint(ID) on delete,insert,update, file PRE, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[RBAC_Admins_ins_del_SMSProv]: table RBAC_Admins(AdminID) on delete,insert, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for Hierarchy Manager[Setup_Site_Actions_Features_HMAN]: table Setup_Site_Actions(SiteCode) on insert,update, file CRE, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for Site Component Manager[SiteControl_CAS_Upd_SiteComp]: table SiteControl(SiteCode) on update, file CAS, delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for Database Notificaton Monitor[SMSDBMON_RunNow]: table SQLTaskSiteStatus(TaskName) on update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Advertisement_del_SMSProv]: table ProgramOffers_L(OfferID) on delete, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Advertisement_ins_upd_SMSProv]: table ProgramOffers_L(OfferID) on insert,update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Alert_ins_upd_SMSProv]: table Alert(AlertID) on insert,update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Alert_upd_SMSProv_AlertForTrigger]: table AlertForTrigger(AlertID) on update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Collection_del_SMSProv]: table Collections_G(SiteID) on delete, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Collection_ins_upd_SMSProv]: table Collection_Maint(CollectionID) on insert,update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Package_del_SMSProv]: table SMSPackages_G(PkgID) on delete, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Trigger for SMS Provider[SMS_Package_ins_upd_SMSProv]: table SMSPackages_G(PkgID) on insert,update, file , delay 0  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.347+480><thread=4244 (0x1094)>
Installing trigger SMSDBMON_AADDiscovery_Settings_Ex_AADDiscovery_Settings_SiteComp_d_del  $$<SMS_DATABASE_NOTIFICATION_MONITOR><02-26-2023 19:51:43.410+480><thread=4244 (0x1094)>
